simulated_period,simulated_disaster,year,month,day,date,region,pa_projects,ia_registrations
8,434,2021,5,21,2021-05-21,6,552,0
8,435,2021,5,21,2021-05-21,8,244,695
8,436,2021,5,22,2021-05-22,6,3949,4268
8,437,2021,5,25,2021-05-25,1,99,0
8,438,2021,6,6,2021-06-06,6,155,0
8,439,2021,6,9,2021-06-09,6,857,849
8,440,2021,7,1,2021-07-01,4,170,0
8,441,2021,7,8,2021-07-08,4,750,0
8,442,2021,7,8,2021-07-08,9,27,0
8,443,2021,7,11,2021-07-11,3,0,8500
8,444,2021,7,14,2021-07-14,7,62,0
8,445,2021,7,22,2021-07-22,8,593,0
8,446,2021,7,23,2021-07-23,4,379,0
8,447,2021,7,28,2021-07-28,3,126,0
8,448,2021,7,28,2021-07-28,4,138,0
8,449,2021,7,30,2021-07-30,3,1064,0
8,450,2021,8,3,2021-08-03,1,184,0
8,451,2021,8,5,2021-08-05,9,18,0
8,452,2021,8,7,2021-08-07,5,387,0
8,453,2021,8,7,2021-08-07,5,1135,0
8,454,2021,8,12,2021-08-12,9,24,0
8,455,2021,8,12,2021-08-12,10,37,0
8,456,2021,8,14,2021-08-14,9,90,0
8,457,2021,8,16,2021-08-16,5,2676,56531
8,458,2021,8,18,2021-08-18,10,58,0
8,459,2021,8,19,2021-08-19,1,36,0
8,460,2021,8,20,2021-08-20,10,16,0
8,461,2021,8,23,2021-08-23,10,419,71372
8,462,2021,8,24,2021-08-24,10,101,0
8,463,2021,8,31,2021-08-31,4,234,0
8,464,2021,9,2,2021-09-02,2,233,0
8,465,2021,9,7,2021-09-07,2,2286,465470
8,466,2021,9,8,2021-09-08,3,220,0
8,467,2021,9,20,2021-09-20,4,32,0
8,468,2021,9,22,2021-09-22,10,74,0
8,469,2021,9,24,2021-09-24,2,90,0
8,470,2021,9,30,2021-09-30,3,801,681491
8,471,2021,10,10,2021-10-10,6,76,0
8,472,2021,10,13,2021-10-13,4,347,995
8,473,2021,10,22,2021-10-22,10,23,0
8,474,2021,10,23,2021-10-23,6,137,0
8,475,2021,10,27,2021-10-27,1,131,0
8,476,2021,11,14,2021-11-14,4,14,0
8,477,2021,12,14,2021-12-14,4,7,0
8,478,2021,12,16,2021-12-16,4,1764,8482
8,479,2021,12,21,2021-12-21,4,148,0
8,480,2021,12,22,2021-12-22,4,177,0
8,481,2021,12,24,2021-12-24,7,70,0
8,482,2021,12,30,2021-12-30,7,259,0
8,483,2021,12,31,2021-12-31,5,944,0
8,484,2022,1,16,2022-01-16,6,408,34753
8,485,2022,1,23,2022-01-23,8,220,0
8,486,2022,1,30,2022-01-30,8,43,0
8,487,2022,1,31,2022-01-31,5,28,0
8,488,2022,2,5,2022-02-05,4,103,0
8,489,2022,2,11,2022-02-11,10,101,0
9,490,2021,2,25,2021-02-25,6,22,0
9,491,2021,3,25,2021-03-25,3,976,12800
9,492,2021,3,26,2021-03-26,8,245,0
9,493,2021,4,8,2021-04-08,6,704,0
9,494,2021,4,16,2021-04-16,4,282,10270
9,495,2021,4,28,2021-04-28,7,0,697
9,496,2021,4,28,2021-04-28,10,11,0
9,497,2021,5,20,2021-05-20,7,97,0
9,498,2021,5,28,2021-05-28,10,57,0
9,499,2021,5,28,2021-05-28,10,183,0
9,500,2021,6,18,2021-06-18,9,25,0
9,501,2021,7,4,2021-07-04,4,21,0
9,502,2021,7,11,2021-07-11,9,97,0
