simulated_period,simulated_disaster,year,month,day,date,region,pa_projects
9,531,2021,12,28,2021-12-28,7,326
9,532,2022,1,13,2022-01-13,8,77
9,533,2022,1,16,2022-01-16,4,265
9,534,2022,1,17,2022-01-17,4,418
10,535,2021,1,22,2021-01-22,7,759
10,536,2021,1,26,2021-01-26,4,34
10,537,2021,2,21,2021-02-21,4,68
10,538,2021,2,22,2021-02-22,4,206
10,539,2021,2,26,2021-02-26,3,41
10,540,2021,3,1,2021-03-01,7,2456
10,541,2021,3,3,2021-03-03,6,1148
10,542,2021,3,9,2021-03-09,7,2948
10,543,2021,3,9,2021-03-09,10,262
10,544,2021,3,10,2021-03-10,7,1045
10,545,2021,3,10,2021-03-10,9,332
10,546,2021,3,19,2021-03-19,4,61
10,547,2021,3,20,2021-03-20,2,604
10,548,2021,3,21,2021-03-21,4,2158
10,549,2021,3,22,2021-03-22,4,718
10,550,2021,3,23,2021-03-23,4,127
10,551,2021,3,30,2021-03-30,7,0
10,552,2021,4,11,2021-04-11,9,692
10,553,2021,4,15,2021-04-15,6,138
10,554,2021,4,17,2021-04-17,10,15
10,555,2021,4,18,2021-04-18,6,65
10,556,2021,4,23,2021-04-23,9,291
10,557,2021,4,24,2021-04-24,6,176
10,558,2021,4,24,2021-04-24,7,420
10,559,2021,4,28,2021-04-28,9,238
10,560,2021,5,15,2021-05-15,9,145
10,561,2021,5,26,2021-05-26,4,286
10,562,2021,5,28,2021-05-28,1,77
10,563,2021,5,30,2021-05-30,7,349
10,564,2021,6,1,2021-06-01,3,4146
10,565,2021,6,5,2021-06-05,4,447
10,566,2021,6,8,2021-06-08,6,29
10,567,2021,6,9,2021-06-09,6,18
10,568,2021,6,12,2021-06-12,3,1069
10,569,2021,6,13,2021-06-13,8,171
10,570,2021,6,14,2021-06-14,3,324
10,571,2021,6,15,2021-06-15,2,2356
10,572,2021,6,26,2021-06-26,1,34
10,573,2021,6,26,2021-06-26,6,149
10,574,2021,6,30,2021-06-30,4,155
10,575,2021,7,1,2021-07-01,6,127
10,576,2021,7,31,2021-07-31,8,795
10,577,2021,8,5,2021-08-05,6,384
10,578,2021,8,6,2021-08-06,3,124
10,579,2021,8,6,2021-08-06,4,108
10,580,2021,9,9,2021-09-09,8,244
10,581,2021,9,15,2021-09-15,6,168
10,582,2021,9,16,2021-09-16,7,329
10,583,2021,9,18,2021-09-18,7,1776
10,584,2021,9,21,2021-09-21,8,746
10,585,2021,9,30,2021-09-30,1,500
10,586,2021,9,30,2021-09-30,8,105
10,587,2021,10,6,2021-10-06,8,185
10,588,2021,10,11,2021-10-11,7,54
10,589,2021,10,11,2021-10-11,7,57
10,590,2021,11,2,2021-11-02,6,114
10,591,2021,11,3,2021-11-03,3,2344
10,592,2021,11,14,2021-11-14,9,9
10,593,2021,11,15,2021-11-15,6,52
10,594,2021,11,21,2021-11-21,3,703
10,595,2021,11,22,2021-11-22,2,67
10,596,2021,12,1,2021-12-01,5,294
10,597,2021,12,17,2021-12-17,2,258
10,598,2021,12,24,2021-12-24,2,633
10,599,2021,12,24,2021-12-24,5,340
10,600,2021,12,31,2021-12-31,2,767
10,601,2022,1,16,2022-01-16,3,226
10,602,2022,1,19,2022-01-19,1,58
11,603,2021,1,23,2021-01-23,7,125
11,604,2021,1,29,2021-01-29,8,29
11,605,2021,2,8,2021-02-08,1,207
11,606,2021,2,23,2021-02-23,3,34
11,607,2021,2,23,2021-02-23,7,189
11,608,2021,2,28,2021-02-28,7,303
11,609,2021,3,7,2021-03-07,2,628
11,610,2021,3,8,2021-03-08,4,168
11,611,2021,3,10,2021-03-10,4,60
11,612,2021,3,18,2021-03-18,4,239
11,613,2021,4,1,2021-04-01,4,0
11,614,2021,4,4,2021-04-04,4,1615
11,615,2021,4,29,2021-04-29,7,0
11,616,2021,5,3,2021-05-03,6,107
11,617,2021,5,3,2021-05-03,7,842
11,618,2021,5,3,2021-05-03,8,81
11,619,2021,5,6,2021-05-06,6,762
11,620,2021,5,10,2021-05-10,6,0
11,621,2021,5,10,2021-05-10,9,652
11,622,2021,5,12,2021-05-12,5,3909
11,623,2021,5,22,2021-05-22,8,415
11,624,2021,5,23,2021-05-23,1,147
11,625,2021,5,23,2021-05-23,7,118
