project_id,sent_to_crc_date,project_size,source,status
157590,2021-06-24,Small,pre_crc,pre_crc
157591,2021-05-07,Small,pre_crc,pre_crc
157592,2021-05-24,Small,pre_crc,pre_crc
157582,2022-01-02,Small,pre_crc,pre_crc
157583,2021-03-23,Small,pre_crc,pre_crc
157585,2021-03-16,Small,pre_crc,pre_crc
157586,2021-02-23,Small,pre_crc,pre_crc
157596,2021-12-14,Small,pre_crc,pre_crc
157597,2021-04-26,Small,pre_crc,pre_crc
157609,2021-09-08,Small,pre_crc,pre_crc
157594,2021-03-21,Small,pre_crc,pre_crc
157599,2021-04-06,Small,pre_crc,pre_crc
157600,2021-07-26,Small,pre_crc,pre_crc
157601,2021-08-15,Small,pre_crc,pre_crc
157602,2021-02-11,Small,pre_crc,pre_crc
157603,2022-03-23,Small,pre_crc,pre_crc
157604,2021-12-03,Small,pre_crc,pre_crc
157687,2021-02-17,Small,pre_crc,pre_crc
157688,2021-04-12,Small,pre_crc,pre_crc
157689,2021-03-03,Small,pre_crc,pre_crc
157690,2022-05-30,Small,pre_crc,pre_crc
157691,2021-02-17,Small,pre_crc,pre_crc
157693,2021-02-11,Small,pre_crc,pre_crc
157694,2021-03-17,Very Large,pre_crc,pre_crc
157695,2021-04-18,Small,pre_crc,pre_crc
157696,2021-01-27,Small,pre_crc,pre_crc
157697,2021-05-07,Small,pre_crc,pre_crc
157699,2021-01-28,Small,pre_crc,pre_crc
157700,2021-01-20,Small,pre_crc,pre_crc
157701,2021-09-02,Small,pre_crc,pre_crc
157702,2021-07-26,Small,pre_crc,pre_crc
157703,2022-01-27,Small,pre_crc,pre_crc
157704,2021-04-21,Small,pre_crc,pre_crc
157705,2021-09-29,Small,pre_crc,pre_crc
157706,2021-01-25,Small,pre_crc,pre_crc
157707,2021-02-20,Small,pre_crc,pre_crc
157708,2021-01-21,Small,pre_crc,pre_crc
157709,2021-08-11,Small,pre_crc,pre_crc
157710,2021-05-15,Small,pre_crc,pre_crc
157711,2022-02-09,Small,pre_crc,pre_crc
157713,2021-01-22,Small,pre_crc,pre_crc
157714,2021-05-05,Small,pre_crc,pre_crc
157715,2021-02-21,Small,pre_crc,pre_crc
157716,2021-07-16,Small,pre_crc,pre_crc
157717,2021-10-30,Small,pre_crc,pre_crc
157718,2021-03-14,Small,pre_crc,pre_crc
157719,2021-04-12,Small,pre_crc,pre_crc
157648,2021-03-18,Small,pre_crc,pre_crc
157650,2021-03-09,Small,pre_crc,pre_crc
157651,2022-01-24,Small,pre_crc,pre_crc
157652,2021-07-13,Small,pre_crc,pre_crc
157653,2021-03-30,Small,pre_crc,pre_crc
157654,2021-04-03,Small,pre_crc,pre_crc
157655,2021-05-27,Small,pre_crc,pre_crc
157656,2021-05-16,Small,pre_crc,pre_crc
157657,2021-10-02,Small,pre_crc,pre_crc
157658,2021-09-04,Small,pre_crc,pre_crc
157659,2021-04-17,Small,pre_crc,pre_crc
157662,2023-05-02,Small,pre_crc,pre_crc
157663,2021-02-23,Small,pre_crc,pre_crc
157664,2021-02-18,Small,pre_crc,pre_crc
157665,2021-02-26,Small,pre_crc,pre_crc
157666,2021-05-19,Small,pre_crc,pre_crc
157667,2021-02-04,Small,pre_crc,pre_crc
157668,2021-04-12,Small,pre_crc,pre_crc
157669,2022-07-31,Small,pre_crc,pre_crc
157674,2021-03-31,Small,pre_crc,pre_crc
157675,2021-06-14,Small,pre_crc,pre_crc
157677,2021-06-04,Small,pre_crc,pre_crc
157678,2021-05-08,Small,pre_crc,pre_crc
157679,2022-02-28,Small,pre_crc,pre_crc
157805,2022-06-19,Small,pre_crc,pre_crc
157807,2021-07-17,Small,pre_crc,pre_crc
157810,2021-02-02,Small,pre_crc,pre_crc
157812,2021-02-24,Small,pre_crc,pre_crc
157833,2021-05-27,Small,pre_crc,pre_crc
157840,2021-12-19,Large,pre_crc,pre_crc
157828,2021-08-08,Large,pre_crc,pre_crc
157730,2021-05-27,Small,pre_crc,pre_crc
157761,2021-03-18,Small,pre_crc,pre_crc
157251,2021-05-28,Small,pre_crc,pre_crc
157253,2021-06-04,Large,pre_crc,pre_crc
157151,2021-10-25,Small,pre_crc,pre_crc
157024,2021-04-21,Large,pre_crc,pre_crc
156989,2021-10-18,Small,pre_crc,pre_crc
156985,2021-02-09,Small,pre_crc,pre_crc
157088,2021-10-27,Small,pre_crc,pre_crc
157276,2021-02-10,Small,pre_crc,pre_crc
157287,2021-04-04,Small,pre_crc,pre_crc
157541,2021-03-15,Small,pre_crc,pre_crc
157557,2021-05-05,Small,pre_crc,pre_crc
157559,2022-08-22,Small,pre_crc,pre_crc
157560,2021-01-23,Small,pre_crc,pre_crc
157554,2021-12-23,Small,pre_crc,pre_crc
157567,2021-03-14,Small,pre_crc,pre_crc
157536,2021-10-27,Small,pre_crc,pre_crc
157545,2021-02-28,Small,pre_crc,pre_crc
157546,2021-06-10,Small,pre_crc,pre_crc
157475,2021-05-19,Very Large,pre_crc,pre_crc
157461,2022-05-29,Small,pre_crc,pre_crc
156909,2021-01-25,Small,pre_crc,pre_crc
156629,2021-03-02,Large,pre_crc,pre_crc
156565,2021-11-02,Small,pre_crc,pre_crc
156553,2021-07-17,Small,pre_crc,pre_crc
156518,2021-01-23,Small,pre_crc,pre_crc
156511,2021-04-10,Large,pre_crc,pre_crc
156501,2021-05-29,Small,pre_crc,pre_crc
156515,2021-03-19,Small,pre_crc,pre_crc
156495,2021-07-17,Small,pre_crc,pre_crc
156496,2021-01-23,Small,pre_crc,pre_crc
156497,2021-07-20,Small,pre_crc,pre_crc
156498,2021-08-11,Small,pre_crc,pre_crc
156499,2021-07-23,Small,pre_crc,pre_crc
156503,2021-03-04,Small,pre_crc,pre_crc
156504,2021-02-16,Large,pre_crc,pre_crc
156505,2021-04-01,Small,pre_crc,pre_crc
156506,2021-07-17,Small,pre_crc,pre_crc
156507,2021-02-06,Small,pre_crc,pre_crc
156475,2021-04-09,Large,pre_crc,pre_crc
156482,2021-05-04,Large,pre_crc,pre_crc
156493,2021-01-24,Small,pre_crc,pre_crc
156490,2021-07-29,Small,pre_crc,pre_crc
156491,2021-06-19,Small,pre_crc,pre_crc
156486,2021-04-04,Small,pre_crc,pre_crc
156488,2021-03-26,Small,pre_crc,pre_crc
156473,2021-04-18,Large,pre_crc,pre_crc
156462,2021-08-20,Small,pre_crc,pre_crc
156433,2021-02-14,Small,pre_crc,pre_crc
156465,2022-02-01,Small,pre_crc,pre_crc
156466,2021-03-18,Large,pre_crc,pre_crc
156387,2021-02-04,Large,pre_crc,pre_crc
156395,2021-05-18,Small,pre_crc,pre_crc
156396,2021-03-08,Small,pre_crc,pre_crc
156408,2021-03-31,Large,pre_crc,pre_crc
156418,2021-07-19,Small,pre_crc,pre_crc
156419,2021-01-25,Small,pre_crc,pre_crc
156451,2021-01-24,Small,pre_crc,pre_crc
156452,2021-04-02,Small,pre_crc,pre_crc
156446,2021-09-07,Large,pre_crc,pre_crc
156447,2021-03-23,Small,pre_crc,pre_crc
156425,2022-05-08,Large,pre_crc,pre_crc
156435,2021-12-28,Small,pre_crc,pre_crc
156430,2021-08-18,Small,pre_crc,pre_crc
154222,2021-05-22,Large,pre_crc,pre_crc
154268,2021-09-03,Small,pre_crc,pre_crc
154307,2021-02-14,Small,pre_crc,pre_crc
154091,2023-02-16,Small,pre_crc,pre_crc
154044,2021-05-19,Small,pre_crc,pre_crc
154160,2021-08-06,Large,pre_crc,pre_crc
154155,2021-07-06,Large,pre_crc,pre_crc
154522,2021-05-02,Large,pre_crc,pre_crc
154487,2021-07-29,Small,pre_crc,pre_crc
154479,2021-02-15,Large,pre_crc,pre_crc
154561,2021-07-05,Small,pre_crc,pre_crc
154382,2024-01-06,Small,pre_crc,pre_crc
154384,2022-01-05,Large,pre_crc,pre_crc
154439,2022-02-27,Large,pre_crc,pre_crc
154408,2023-03-25,Large,pre_crc,pre_crc
154406,2021-07-09,Small,pre_crc,pre_crc
154933,2021-12-31,Large,pre_crc,pre_crc
154909,2023-01-09,Small,pre_crc,pre_crc
154977,2021-10-22,Large,pre_crc,pre_crc
154947,2021-05-08,Very Large,pre_crc,pre_crc
154982,2021-04-17,Small,pre_crc,pre_crc
154984,2021-05-28,Small,pre_crc,pre_crc
155010,2021-11-26,Large,pre_crc,pre_crc
155011,2021-09-11,Very Large,pre_crc,pre_crc
155157,2021-10-05,Large,pre_crc,pre_crc
155074,2022-01-23,Small,pre_crc,pre_crc
